Edrude_ind 		 Edrude_dhf
     -0.00000402       0.00000017
     -0.00000465      -0.00000005
     -0.00001183      -0.00000125
     -0.00001307      -0.00000106
     -0.00002872       0.00000178
     -0.00007250      -0.00000752
     -0.00000429      -0.00000026
     -0.00000110       0.00000006
     -0.00002145      -0.00000193
     -0.00003870      -0.00000457
     -0.00000289      -0.00000019
     -0.00000991       0.00000007
     -0.00001576      -0.00000086
     -0.00000518       0.00000036
     -0.00000349      -0.00000000
     -0.00000979       0.00000079
     -0.00000567       0.00000041
     -0.00000814      -0.00000053
     -0.00000331      -0.00000018
     -0.00005648      -0.00001129
     -0.00000124       0.00000002
     -0.00002879       0.00000083
     -0.00001482       0.00000151
     -0.00000757       0.00000017
     -0.00002098      -0.00000162
     -0.00000105       0.00000001
     -0.00003222      -0.00000445
     -0.00001773      -0.00000088
     -0.00004439      -0.00000594
     -0.00000146       0.00000000
     -0.00002878      -0.00000095
     -0.00000149       0.00000004
     -0.00000489       0.00000041
     -0.00004248       0.00000260
     -0.00000252       0.00000011
     -0.00002416       0.00000291
     -0.00000724      -0.00000046
     -0.00004021      -0.00000125
     -0.00002082      -0.00000275
     -0.00000708      -0.00000008
     -0.00000931      -0.00000116
     -0.00001765      -0.00000039
     -0.00000415      -0.00000016
     -0.00000498       0.00000040
     -0.00000347      -0.00000027
     -0.00000350      -0.00000024
     -0.00003320       0.00000270
     -0.00000193      -0.00000007
     -0.00000321      -0.00000003
     -0.00001617      -0.00000204
     -0.00001561      -0.00000076
     -0.00000185      -0.00000003
     -0.00000380      -0.00000017
     -0.00000104      -0.00000002
     -0.00000260       0.00000014
     -0.00001781       0.00000023
     -0.00000756       0.00000013
     -0.00000215      -0.00000010
     -0.00000130       0.00000008
     -0.00000323      -0.00000003
     -0.00001954       0.00000095
     -0.00000089      -0.00000001
     -0.00000077      -0.00000003
     -0.00000205       0.00000002
     -0.00000164      -0.00000009
     -0.00001520      -0.00000072
     -0.00001197      -0.00000175
     -0.00002107       0.00000049
     -0.00001926       0.00000125
     -0.00002557      -0.00000262
     -0.00001662      -0.00000176
     -0.00000077      -0.00000004
     -0.00001216       0.00000145
     -0.00000304      -0.00000001
     -0.00000867      -0.00000002
     -0.00001315       0.00000110
     -0.00000936      -0.00000055
     -0.00004328      -0.00000743
     -0.00000181      -0.00000005
     -0.00000159       0.00000010
     -0.00000523      -0.00000044
     -0.00000233      -0.00000010
