Edrude_ind 		 Edrude_dhf
     -0.00000397      -0.00000006
     -0.00000493       0.00000007
     -0.00000787      -0.00000088
     -0.00002736      -0.00000072
     -0.00000620       0.00000056
     -0.00005189      -0.00000731
     -0.00000536      -0.00000011
     -0.00000241       0.00000010
     -0.00000309       0.00000019
     -0.00000427       0.00000009
     -0.00002350       0.00000058
     -0.00000328      -0.00000000
     -0.00000779      -0.00000035
     -0.00001222       0.00000022
     -0.00009577       0.00000230
     -0.00000648      -0.00000031
     -0.00001694      -0.00000206
     -0.00002073      -0.00000149
     -0.00003366      -0.00000364
     -0.00001170       0.00000005
     -0.00002013      -0.00000158
     -0.00002536       0.00000204
     -0.00000375       0.00000031
     -0.00001421       0.00000058
     -0.00001114      -0.00000007
     -0.00000690      -0.00000059
     -0.00000200       0.00000003
     -0.00000174      -0.00000011
     -0.00000489      -0.00000030
     -0.00001107      -0.00000035
     -0.00000186       0.00000008
     -0.00000466       0.00000002
     -0.00000331       0.00000001
     -0.00001097      -0.00000026
     -0.00000825      -0.00000006
     -0.00000193       0.00000001
     -0.00000115      -0.00000001
     -0.00000130       0.00000001
     -0.00000217      -0.00000004
     -0.00000374       0.00000010
     -0.00000495      -0.00000005
     -0.00000217      -0.00000005
     -0.00000700      -0.00000068
     -0.00000338       0.00000008
     -0.00001566       0.00000101
     -0.00000992      -0.00000105
     -0.00000176       0.00000000
     -0.00000203       0.00000006
     -0.00000584      -0.00000020
     -0.00000930       0.00000030
     -0.00000121       0.00000007
     -0.00000221       0.00000001
     -0.00000339      -0.00000007
     -0.00001129      -0.00000028
     -0.00000431      -0.00000008
     -0.00006064       0.00000057
     -0.00001674       0.00000182
     -0.00000148       0.00000005
     -0.00001312       0.00000090
     -0.00000147      -0.00000001
     -0.00000165      -0.00000005
     -0.00000585      -0.00000000
     -0.00001917       0.00000022
     -0.00002043       0.00000109
     -0.00003300      -0.00000264
     -0.00000423      -0.00000018
     -0.00000331      -0.00000015
     -0.00000620      -0.00000025
     -0.00001368      -0.00000161
     -0.00001013      -0.00000030
     -0.00000587      -0.00000013
     -0.00000543      -0.00000018
     -0.00001519       0.00000020
     -0.00001086      -0.00000033
     -0.00000147      -0.00000004
     -0.00004557       0.00000419
     -0.00000101      -0.00000005
     -0.00000323       0.00000002
     -0.00000146      -0.00000000
     -0.00000528      -0.00000038
     -0.00001140       0.00000027
     -0.00000177       0.00000004
     -0.00000269       0.00000018
     -0.00000193       0.00000014
     -0.00000551       0.00000011
     -0.00001198      -0.00000067
     -0.00000324       0.00000009
     -0.00000305       0.00000024
     -0.00003756       0.00000398
     -0.00005363      -0.00000962
     -0.00003020      -0.00000094
     -0.00001631       0.00000043
     -0.00000469       0.00000004
     -0.00000339       0.00000029
     -0.00000323       0.00000006
     -0.00000102      -0.00000001
     -0.00002783       0.00000082
     -0.00000251      -0.00000008
     -0.00000485      -0.00000001
     -0.00000208       0.00000001
     -0.00000881       0.00000055
     -0.00000425      -0.00000003
     -0.00002752      -0.00000091
     -0.00000692       0.00000030
     -0.00000467       0.00000017
     -0.00000562       0.00000046
     -0.00000464       0.00000000
     -0.00006652       0.00000410
     -0.00000293      -0.00000004
     -0.00000256      -0.00000005
     -0.00002224      -0.00000229
     -0.00006515      -0.00001066
     -0.00000934      -0.00000031
     -0.00000935       0.00000044
     -0.00000904      -0.00000109
     -0.00008962      -0.00000343
     -0.00000295      -0.00000005
     -0.00000181       0.00000005
     -0.00000319       0.00000013
     -0.00000213       0.00000016
     -0.00000081       0.00000001
     -0.00000110       0.00000002
     -0.00000219       0.00000000
     -0.00001271      -0.00000034
     -0.00000388       0.00000010
     -0.00000337       0.00000030
     -0.00000441      -0.00000015
     -0.00000552      -0.00000022
     -0.00000922       0.00000074
     -0.00000146       0.00000002
     -0.00001707       0.00000038
     -0.00001540      -0.00000056
     -0.00000148       0.00000004
     -0.00000472      -0.00000004
     -0.00000451       0.00000008
     -0.00000617       0.00000018
     -0.00002060       0.00000025
     -0.00000194       0.00000008
     -0.00000210      -0.00000006
     -0.00000366      -0.00000015
     -0.00000213       0.00000017
     -0.00000354       0.00000013
     -0.00000867       0.00000001
     -0.00001329       0.00000002
     -0.00002414       0.00000075
     -0.00000216       0.00000005
     -0.00000727      -0.00000044
     -0.00000916       0.00000051
     -0.00000216      -0.00000003
     -0.00004596      -0.00000171
     -0.00003436      -0.00000201
     -0.00000462      -0.00000025
     -0.00000195       0.00000013
     -0.00002998      -0.00000181
     -0.00000122      -0.00000000
     -0.00004095      -0.00000628
     -0.00003027       0.00000184
     -0.00001824       0.00000120
     -0.00002262      -0.00000015
     -0.00000598      -0.00000054
     -0.00004790      -0.00000476
     -0.00000158       0.00000004
     -0.00000617       0.00000037
     -0.00002821      -0.00000208
     -0.00000470      -0.00000021
     -0.00000948       0.00000001
     -0.00005209      -0.00000161
     -0.00003887      -0.00000661
     -0.00001469       0.00000132
     -0.00004212      -0.00000358
     -0.00002141      -0.00000154
     -0.00000667      -0.00000006
     -0.00000798      -0.00000022
     -0.00003158      -0.00000334
     -0.00002327      -0.00000050
     -0.00001852      -0.00000209
     -0.00004423      -0.00000078
     -0.00002605      -0.00000149
     -0.00002259      -0.00000023
     -0.00000132       0.00000003
     -0.00000255       0.00000014
     -0.00000151      -0.00000004
     -0.00000986      -0.00000085
     -0.00001726       0.00000127
     -0.00002193       0.00000035
     -0.00000366       0.00000028
     -0.00000391       0.00000015
     -0.00000084      -0.00000001
     -0.00000566       0.00000010
     -0.00001883       0.00000159
     -0.00002403       0.00000071
     -0.00002804      -0.00000382
     -0.00000410      -0.00000023
     -0.00000340      -0.00000023
     -0.00000831      -0.00000070
     -0.00000656      -0.00000019
     -0.00000207      -0.00000004
     -0.00001644      -0.00000167
     -0.00000133      -0.00000001
     -0.00001097      -0.00000001
     -0.00001969      -0.00000134
     -0.00003217      -0.00000376
     -0.00000364       0.00000001
     -0.00002952      -0.00000358
     -0.00000342       0.00000017
     -0.00000772      -0.00000047
     -0.00002084      -0.00000017
     -0.00000429       0.00000028
     -0.00001073       0.00000054
     -0.00000329      -0.00000009
     -0.00000495      -0.00000002
     -0.00000145       0.00000008
     -0.00000176      -0.00000004
     -0.00001190      -0.00000015
     -0.00000321      -0.00000013
     -0.00000205       0.00000004
     -0.00000583      -0.00000009
     -0.00000120       0.00000001
     -0.00000846       0.00000011
     -0.00004096      -0.00000076
     -0.00000481       0.00000010
     -0.00000578      -0.00000022
     -0.00001273       0.00000096
     -0.00000302       0.00000028
     -0.00000167       0.00000011
     -0.00004015      -0.00001004
     -0.00001088      -0.00000069
     -0.00000158       0.00000003
     -0.00000492       0.00000034
     -0.00001909      -0.00000209
     -0.00000668       0.00000061
     -0.00001382      -0.00000098
     -0.00000490      -0.00000030
     -0.00000703      -0.00000037
     -0.00001635      -0.00000029
     -0.00000329       0.00000018
     -0.00000302      -0.00000013
     -0.00000428       0.00000017
     -0.00000179      -0.00000001
     -0.00000928      -0.00000062
     -0.00000178       0.00000010
     -0.00000512       0.00000013
     -0.00000143      -0.00000006
     -0.00001299       0.00000003
     -0.00000805      -0.00000093
     -0.00000562       0.00000029
     -0.00000122       0.00000004
     -0.00000200       0.00000001
     -0.00000271       0.00000009
     -0.00001028       0.00000035
     -0.00000642       0.00000001
     -0.00001059      -0.00000070
     -0.00000900      -0.00000032
     -0.00000402       0.00000012
     -0.00000241      -0.00000007
     -0.00001602      -0.00000165
     -0.00000213      -0.00000005
     -0.00011181      -0.00001310
     -0.00000432      -0.00000021
     -0.00000150       0.00000008
     -0.00001133      -0.00000023
     -0.00000302      -0.00000021
     -0.00000742       0.00000050
     -0.00003635      -0.00000697
     -0.00000467       0.00000043
     -0.00003410      -0.00000088
     -0.00000947      -0.00000040
     -0.00002736      -0.00000193
     -0.00000111       0.00000006
     -0.00000244      -0.00000003
     -0.00003310      -0.00000663
     -0.00000181       0.00000010
     -0.00001659      -0.00000011
     -0.00000619      -0.00000034
     -0.00000529       0.00000036
     -0.00001023       0.00000077
     -0.00001240       0.00000038
     -0.00000297       0.00000009
     -0.00000663       0.00000024
     -0.00000210      -0.00000004
     -0.00000809      -0.00000067
     -0.00000854      -0.00000094
     -0.00001199      -0.00000144
     -0.00000357       0.00000016
     -0.00000201       0.00000000
     -0.00000281       0.00000010
     -0.00002093      -0.00000110
     -0.00000234       0.00000017
     -0.00000608      -0.00000048
     -0.00001245      -0.00000024
     -0.00000137       0.00000005
     -0.00000712      -0.00000004
     -0.00000147      -0.00000001
     -0.00000379       0.00000007
     -0.00000151       0.00000005
     -0.00000094       0.00000002
     -0.00000620       0.00000045
     -0.00000675       0.00000030
     -0.00000661      -0.00000016
     -0.00000228      -0.00000009
     -0.00002866      -0.00000179
     -0.00000297       0.00000012
     -0.00003007       0.00000008
     -0.00000389      -0.00000013
     -0.00002862      -0.00000064
     -0.00000313      -0.00000007
     -0.00002991      -0.00000281
     -0.00000168       0.00000013
     -0.00002606       0.00000088
     -0.00000374      -0.00000008
     -0.00001602      -0.00000075
     -0.00000121      -0.00000007
     -0.00000411      -0.00000006
     -0.00000092       0.00000003
     -0.00004205      -0.00000298
     -0.00001181      -0.00000005
     -0.00000930      -0.00000031
     -0.00006576      -0.00000626
     -0.00000313       0.00000009
     -0.00000345       0.00000011
     -0.00003111       0.00000091
     -0.00002612       0.00000190
     -0.00000185      -0.00000005
     -0.00000745      -0.00000077
     -0.00000867       0.00000044
     -0.00001646       0.00000021
     -0.00000099       0.00000000
     -0.00000156      -0.00000005
     -0.00000928      -0.00000010
     -0.00000177      -0.00000004
     -0.00002470       0.00000067
     -0.00002999      -0.00000113
     -0.00006368       0.00000131
     -0.00000273      -0.00000003
     -0.00000764      -0.00000005
     -0.00000209      -0.00000005
     -0.00000916       0.00000004
     -0.00001271      -0.00000092
     -0.00004324      -0.00000728
     -0.00000338       0.00000008
     -0.00001004       0.00000029
     -0.00000370       0.00000001
     -0.00000200       0.00000011
     -0.00000614       0.00000020
     -0.00000182       0.00000006
     -0.00003938      -0.00000283
     -0.00000253       0.00000007
     -0.00005554      -0.00000515
     -0.00003174      -0.00000405
     -0.00000214      -0.00000006
     -0.00004232      -0.00000573
     -0.00000236      -0.00000005
     -0.00000374      -0.00000017
     -0.00005373       0.00000171
     -0.00000386      -0.00000008
     -0.00000163       0.00000005
     -0.00004495       0.00000087
     -0.00000497       0.00000030
     -0.00000613      -0.00000015
     -0.00000966       0.00000000
     -0.00000521       0.00000015
     -0.00000661      -0.00000025
     -0.00001828      -0.00000126
     -0.00000323       0.00000005
     -0.00000198       0.00000012
     -0.00000448      -0.00000014
     -0.00000402       0.00000039
     -0.00001210       0.00000107
     -0.00000190      -0.00000001
     -0.00000164      -0.00000003
     -0.00000222      -0.00000004
     -0.00001301       0.00000059
     -0.00000302      -0.00000003
     -0.00000249       0.00000012
     -0.00000428      -0.00000003
     -0.00001008       0.00000063
     -0.00003113       0.00000155
     -0.00000128       0.00000001
     -0.00000099      -0.00000003
     -0.00000186       0.00000004
     -0.00000255       0.00000014
     -0.00000686      -0.00000025
     -0.00000272      -0.00000007
     -0.00001345      -0.00000165
     -0.00003164       0.00000075
     -0.00001260      -0.00000014
     -0.00001169       0.00000030
     -0.00000487      -0.00000034
     -0.00000178      -0.00000005
     -0.00000313       0.00000001
     -0.00001833      -0.00000107
     -0.00001577       0.00000030
     -0.00000157      -0.00000009
     -0.00000615       0.00000046
     -0.00004611      -0.00000168
     -0.00000430       0.00000006
     -0.00000316      -0.00000024
     -0.00001756       0.00000001
     -0.00000743      -0.00000015
     -0.00000380      -0.00000023
     -0.00002581      -0.00000035
     -0.00000331      -0.00000006
     -0.00000310      -0.00000019
     -0.00000162       0.00000002
     -0.00000193       0.00000006
     -0.00001084      -0.00000102
     -0.00000534       0.00000023
     -0.00002300       0.00000077
     -0.00000240      -0.00000005
     -0.00004764       0.00000044
     -0.00000524       0.00000024
     -0.00000143      -0.00000004
     -0.00002242      -0.00000260
     -0.00004775       0.00000346
     -0.00006160      -0.00000237
     -0.00000220      -0.00000001
     -0.00000245      -0.00000018
     -0.00000873       0.00000036
     -0.00000716      -0.00000051
     -0.00001203       0.00000035
     -0.00000742       0.00000011
     -0.00002568      -0.00000308
     -0.00000585      -0.00000037
     -0.00005910      -0.00000945
     -0.00000507      -0.00000038
     -0.00000342       0.00000001
     -0.00002057       0.00000162
     -0.00000533      -0.00000029
     -0.00000570      -0.00000020
     -0.00001409       0.00000091
     -0.00000762      -0.00000045
     -0.00000823      -0.00000078
     -0.00002334      -0.00000272
     -0.00000724       0.00000010
     -0.00000123       0.00000007
     -0.00001896      -0.00000131
     -0.00001423      -0.00000190
     -0.00001048       0.00000011
     -0.00003927      -0.00000512
     -0.00001092      -0.00000056
     -0.00000954      -0.00000063
     -0.00003697      -0.00000235
     -0.00000291       0.00000008
     -0.00000423       0.00000033
     -0.00001972       0.00000039
     -0.00000269      -0.00000008
     -0.00000319      -0.00000008
     -0.00000634       0.00000007
     -0.00000338      -0.00000000
     -0.00001525       0.00000079
     -0.00002771       0.00000381
