# Eelst 		 Emultipole 
     -0.00029177       0.00006178
     -0.00030578       0.00001493
     -0.00073689       0.00009726
     -0.00044263       0.00002455
     -0.00142537      -0.00010986
     -0.00060347      -0.00005583
     -0.00424213      -0.00029772
     -0.00017748       0.00000468
     -0.00517414       0.00001271
     -0.00094984       0.00014732
     -0.00070684       0.00002459
     -0.00299511      -0.00016691
     -0.00017910      -0.00002372
     -0.00393946      -0.00018406
     -0.00263193      -0.00012508
     -0.00567444      -0.00024913
     -0.00009283      -0.00001741
     -0.00458706       0.00000644
     -0.00011320      -0.00003593
     -0.00025150       0.00007091
     -0.00754066       0.00007096
     -0.00015944       0.00003154
     -0.00160927       0.00012736
     -0.00068091      -0.00001844
     -0.00365748      -0.00012515
     -0.00355944      -0.00018491
     -0.00144970       0.00000424
     -0.00135961      -0.00008321
     -0.00146815       0.00000849
     -0.00125630      -0.00007292
     -0.00029395       0.00007644
     -0.00028652      -0.00005704
     -0.00052764      -0.00002837
     -0.00423570       0.00029311
     -0.00012794      -0.00001058
     -0.00022583      -0.00002037
     -0.00362405      -0.00015543
     -0.00237723      -0.00006896
     -0.00034254      -0.00002275
     -0.00062300      -0.00005338
     -0.00011920      -0.00001561
     -0.00017647       0.00003519
     -0.00315878      -0.00004573
     -0.00064748       0.00000335
     -0.00021915      -0.00003835
     -0.00008872      -0.00002360
     -0.00059676      -0.00002602
     -0.00166106       0.00009531
     -0.00012628      -0.00001355
     -0.00010356      -0.00001495
     -0.00026756       0.00000940
     -0.00023194      -0.00003008
     -0.00210010       0.00003757
     -0.00211028      -0.00014180
     -0.00367923       0.00003068
     -0.00186976       0.00013891
     -0.00303065      -0.00016635
     -0.00192641      -0.00007919
     -0.00009717      -0.00002522
     -0.00050455       0.00012983
     -0.00045092      -0.00000271
     -0.00067227       0.00003623
     -0.00084183       0.00009125
     -0.00121372      -0.00007755
     -0.00466815      -0.00017833
     -0.00018657       0.00000555
     -0.00004508       0.00003479
     -0.00068199      -0.00008729
     -0.00028204      -0.00001973
     -0.00016075      -0.00001145
     -0.00054135      -0.00001680
     -0.00112555      -0.00002367
     -0.00041338       0.00006094
     -0.01016961       0.00017989
     -0.00408941      -0.00019590
     -0.00119737      -0.00007610
     -0.00439137       0.00018709
     -0.00004292       0.00003626
     -0.00612564      -0.00008592
     -0.00041055       0.00004757
     -0.00379197      -0.00011336
     -0.00142363      -0.00002395
     -0.00025946       0.00000328
     -0.00017633      -0.00001700
     -0.00039775       0.00001113
     -0.00434927      -0.00016418
     -0.00005115       0.00001989
     -0.00039028       0.00005212
     -0.00125423      -0.00008757
     -0.00013694       0.00000358
     -0.00041669      -0.00003301
