# Eelst 		 Emultipole 
     -0.00109732       0.00026973
     -0.00395797       0.00039772
     -0.00102487      -0.00024294
     -0.00159265      -0.00008703
     -0.00164471       0.00005166
     -0.00248617      -0.00037189
     -0.00926119       0.00008368
     -0.00012794      -0.00003688
     -0.00308857      -0.00006429
     -0.00171272       0.00014502
     -0.00002448       0.00005933
     -0.00165673      -0.00004707
     -0.00006729       0.00001699
     -0.00026048       0.00011027
     -0.00342436      -0.00022459
     -0.00014339       0.00014471
     -0.00007258       0.00005325
     -0.00012208      -0.00001468
     -0.00064057      -0.00017087
     -0.00247191       0.00015488
     -0.00219841      -0.00000798
     -0.00880752       0.00094991
     -0.00160115      -0.00005111
     -0.00007647      -0.00002391
     -0.00249948       0.00013289
     -0.00021248      -0.00003946
     -0.00054355      -0.00000781
     -0.00096630      -0.00012871
     -0.00021907      -0.00003438
     -0.00369459       0.00019978
     -0.00013934       0.00001507
     -0.00016546      -0.00004629
     -0.00004885      -0.00002153
     -0.00896552       0.00102274
     -0.00019026       0.00005342
     -0.00015019      -0.00006036
     -0.00037925       0.00007840
     -0.00044903       0.00021813
     -0.00014578      -0.00003685
     -0.00146383      -0.00009692
     -0.00489510      -0.00028652
     -0.00039503      -0.00016273
     -0.00008009       0.00001229
     -0.00020564      -0.00004771
     -0.00029085      -0.00007848
     -0.00021575       0.00012474
     -0.00067721      -0.00011967
     -0.00022405      -0.00000645
     -0.00027523      -0.00000087
     -0.00086505      -0.00005085
     -0.00158891       0.00006780
     -0.00007638       0.00000772
     -0.00072246       0.00012566
     -0.00014676      -0.00003342
     -0.00011555      -0.00006383
     -0.00005968       0.00007119
     -0.00050818       0.00024775
     -0.00025738       0.00001520
     -0.00050484       0.00008937
     -0.00045788      -0.00003050
     -0.00012891       0.00000474
     -0.00134463      -0.00016962
     -0.00695945      -0.00025042
     -0.00142621      -0.00014530
     -0.00452425      -0.00057584
     -0.00003145       0.00005158
     -0.00010441       0.00000558
     -0.00020079      -0.00006704
     -0.00194204       0.00017918
     -0.00027029       0.00021732
     -0.00263758       0.00024480
     -0.00027386      -0.00008049
     -0.00012301      -0.00005360
     -0.00128095       0.00016876
     -0.00065316       0.00012665
     -0.00102381      -0.00020393
     -0.00010055       0.00002407
     -0.00004145       0.00007666
     -0.00123952      -0.00011289
     -0.00018596      -0.00000573
     -0.00009367       0.00003174
     -0.00041850       0.00004564
     -0.00033255      -0.00008505
     -0.00005151       0.00008021
     -0.00041408       0.00020027
     -0.00004428       0.00000935
     -0.00299007      -0.00007773
     -0.00010167       0.00006950
     -0.00034669       0.00018336
     -0.00069221      -0.00001633
     -0.00230324       0.00013018
     -0.00032408       0.00008840
     -0.00637480       0.00000373
     -0.00181095      -0.00026436
     -0.00006367       0.00004066
     -0.00033460       0.00001340
     -0.00060620       0.00002483
     -0.00105861      -0.00013353
     -0.00092639      -0.00023247
     -0.00009840       0.00000624
     -0.00010367      -0.00001304
     -0.00011455       0.00008587
     -0.00005501       0.00005721
     -0.00054652      -0.00007155
