# Eelst 		 Emultipole 
     -0.00108761      -0.00002989
     -0.00029515      -0.00004893
     -0.00037923      -0.00004507
     -0.00017358      -0.00004847
     -0.00658314       0.00002463
     -0.00043377       0.00006460
     -0.00019464      -0.00000523
     -0.00038100      -0.00002387
     -0.00016752      -0.00001160
     -0.00120231       0.00001476
     -0.00064311      -0.00004411
     -0.00138580      -0.00000821
     -0.00018618      -0.00000603
     -0.00017939       0.00000312
     -0.00064742      -0.00004621
     -0.00019948      -0.00002524
     -0.00034013      -0.00002131
     -0.00178896       0.00005873
     -0.00363037      -0.00016758
     -0.00031391       0.00002556
     -0.00129255      -0.00003010
     -0.00150836      -0.00016559
     -0.00078157       0.00004732
     -0.00013862       0.00001764
     -0.00150473      -0.00008300
     -0.00497499       0.00004628
     -0.00043120       0.00000358
     -0.00259394       0.00008249
     -0.00206583       0.00014017
     -0.00210396      -0.00002228
     -0.00028964       0.00000152
     -0.00131680      -0.00000422
     -0.00156372      -0.00011171
     -0.00018961       0.00005094
     -0.00480446      -0.00004826
     -0.00055372       0.00002682
     -0.00043049      -0.00002226
     -0.00070269      -0.00007695
     -0.00020278       0.00000871
     -0.00019251      -0.00001810
     -0.00268536      -0.00004540
     -0.00187860      -0.00003982
     -0.00401571       0.00022180
     -0.00265320       0.00020273
     -0.00082925       0.00011145
     -0.00023126       0.00000239
     -0.00212470       0.00006177
     -0.00017515       0.00000419
     -0.00105593       0.00000878
     -0.00040701      -0.00002371
     -0.00148328       0.00001138
     -0.00194330       0.00012091
     -0.00007695       0.00002057
     -0.00372451      -0.00000884
     -0.00044079      -0.00001247
     -0.00281694       0.00010352
     -0.00492831      -0.00001512
     -0.00048604       0.00002795
     -0.00012078       0.00001134
     -0.00219268      -0.00008763
     -0.00080954      -0.00000197
     -0.00037486       0.00002110
     -0.00189509      -0.00005278
     -0.00274362      -0.00013661
     -0.00072756      -0.00000390
     -0.00182180      -0.00009834
     -0.00010635       0.00003366
     -0.00550313      -0.00017535
     -0.00113733       0.00010573
     -0.00143698      -0.00010648
     -0.00011636       0.00001392
     -0.00548487       0.00007865
     -0.00017178      -0.00001074
     -0.00095631      -0.00005781
     -0.00262655       0.00011546
     -0.00088717       0.00003249
     -0.00054177      -0.00002049
     -0.00021254      -0.00001778
     -0.00013063      -0.00002920
     -0.00072235      -0.00002457
     -0.00210190      -0.00008241
     -0.00069465      -0.00000358
     -0.00120330       0.00006116
     -0.00363985      -0.00001668
     -0.00209686       0.00008457
     -0.00302101      -0.00012411
     -0.00025132      -0.00003460
     -0.00164852      -0.00003749
     -0.00044880      -0.00004205
     -0.00020395      -0.00001573
     -0.00420792      -0.00012057
     -0.00209184       0.00001331
     -0.00091355      -0.00000910
     -0.00675940      -0.00006613
     -0.00856107      -0.00013324
     -0.00525993      -0.00001749
     -0.00022713      -0.00004333
     -0.00058586      -0.00001808
     -0.00099566      -0.00009955
     -0.00095528      -0.00005802
     -0.00039938       0.00007020
     -0.00013877      -0.00001495
     -0.00222898       0.00012049
     -0.00136240       0.00005393
     -0.00015729       0.00002369
     -0.00176535       0.00007634
     -0.00207180      -0.00013569
     -0.00511807      -0.00011963
     -0.00749172      -0.00009265
     -0.00100467       0.00004076
     -0.00026437      -0.00000328
     -0.00032137      -0.00002372
     -0.00061975       0.00003676
     -0.00028152      -0.00003626
     -0.00010296       0.00001222
     -0.00292532      -0.00007538
     -0.00075574      -0.00004458
     -0.00166744      -0.00000187
     -0.00078633      -0.00003944
     -0.00167970      -0.00006395
     -0.00054169       0.00001967
     -0.00024314       0.00000975
     -0.00790055      -0.00031783
     -0.00169240       0.00012714
     -0.00465415      -0.00009358
     -0.00141205      -0.00001963
     -0.00337129       0.00011928
     -0.00038476       0.00000330
     -0.00472721      -0.00003531
     -0.00017405      -0.00001661
     -0.00021143      -0.00002481
     -0.00010795      -0.00001438
     -0.00012153       0.00000704
     -0.00031220       0.00001098
     -0.00232296       0.00002112
     -0.00237564      -0.00007918
     -0.00020382      -0.00000730
     -0.00409939      -0.00015321
     -0.00457080      -0.00008482
     -0.00018272       0.00000092
     -0.00160588       0.00000238
     -0.00466567      -0.00010547
     -0.00197636      -0.00002052
     -0.00407840      -0.00007866
