Edrude_ind 		 Edrude_dhf
     -0.00001570      -0.00000024
     -0.00002546       0.00000344
     -0.00002262      -0.00000197
     -0.00000525       0.00000020
     -0.00000843      -0.00000015
     -0.00001292      -0.00000061
     -0.00000160       0.00000008
     -0.00002643      -0.00000040
     -0.00000303      -0.00000010
     -0.00000254      -0.00000010
     -0.00000463      -0.00000023
     -0.00000164       0.00000006
     -0.00000156      -0.00000003
     -0.00001527      -0.00000063
     -0.00001287      -0.00000074
     -0.00002547       0.00000160
     -0.00001449       0.00000076
     -0.00000940       0.00000019
     -0.00000157      -0.00000000
     -0.00001064       0.00000004
     -0.00000123       0.00000002
     -0.00000714      -0.00000014
     -0.00000275      -0.00000001
     -0.00000812       0.00000042
     -0.00002220       0.00000207
     -0.00000210      -0.00000000
     -0.00003127      -0.00000236
     -0.00000220       0.00000008
     -0.00001846       0.00000098
     -0.00002702      -0.00000010
     -0.00000423      -0.00000001
     -0.00000193       0.00000009
     -0.00001552      -0.00000140
     -0.00000619      -0.00000002
     -0.00000272       0.00000006
     -0.00001364      -0.00000044
     -0.00001474      -0.00000143
     -0.00000779      -0.00000043
     -0.00001382      -0.00000159
     -0.00000183       0.00000004
     -0.00003955      -0.00000228
     -0.00001908       0.00000259
     -0.00001354      -0.00000100
     -0.00000150       0.00000004
     -0.00003428      -0.00000162
     -0.00000117      -0.00000001
     -0.00000862      -0.00000066
     -0.00001335       0.00000041
     -0.00001102       0.00000015
     -0.00000450       0.00000027
     -0.00000230       0.00000003
     -0.00000170      -0.00000011
     -0.00000540      -0.00000032
     -0.00001169      -0.00000127
     -0.00000638      -0.00000047
     -0.00000981       0.00000014
     -0.00001796      -0.00000068
     -0.00001486       0.00000056
     -0.00001358      -0.00000208
     -0.00000215      -0.00000014
     -0.00000663      -0.00000004
     -0.00000547      -0.00000038
     -0.00000190      -0.00000007
     -0.00003110      -0.00000379
     -0.00001445      -0.00000001
     -0.00000515       0.00000001
     -0.00004021      -0.00000151
     -0.00003696      -0.00000204
     -0.00003300       0.00000008
     -0.00000178      -0.00000009
     -0.00000387      -0.00000010
     -0.00000555      -0.00000043
     -0.00000414      -0.00000022
     -0.00000428       0.00000011
     -0.00000247      -0.00000008
     -0.00001475       0.00000041
     -0.00000797      -0.00000005
     -0.00000316       0.00000007
     -0.00001270       0.00000024
